tweet_id,text,sentiment
1,Avengers was absolutely amazing!,positive
2,I loved every moment of Avengers movie,positive
3,The action scenes in Avengers were mind blowing,positive
4,Avengers exceeded my expectations,positive
5,Best Marvel movie ever!,positive
6,The cast did a fantastic job in Avengers,positive
7,Avengers storyline was so engaging,positive
8,Totally worth watching Avengers again,positive
9,Avengers is a masterpiece,positive
10,The VFX in Avengers is stunning,positive
11,Avengers was pretty good overall,positive
12,Enjoyed Avengers with friends,positive
13,Avengers had great humor and action,positive
14,Loved Iron Man in Avengers,positive
15,Thor scenes in Avengers were epic,positive
16,Avengers gave me chills,positive
17,Amazing direction in Avengers,positive
18,Avengers soundtrack is awesome,positive
19,Avengers is very entertaining,positive
20,Great movie experience watching Avengers,positive
21,Avengers was okay,neutral
22,Watched Avengers today,neutral
23,Avengers is trending everywhere,neutral
24,People are talking about Avengers a lot,neutral
25,Avengers released this week,neutral
26,I saw Avengers yesterday,neutral
27,Avengers runtime is quite long,neutral
28,The movie Avengers has many characters,neutral
29,Avengers tickets are selling fast,neutral
30,Avengers has mixed reviews,neutral
31,Planning to watch Avengers soon,neutral
32,Avengers is part of Marvel series,neutral
33,Avengers has many action scenes,neutral
34,Just finished Avengers movie,neutral
35,Avengers is popular among fans,neutral
36,Avengers show timings are full,neutral
37,Avengers includes many superheroes,neutral
38,Avengers is being discussed online,neutral
39,Avengers is a big budget film,neutral
40,Avengers has multiple story arcs,neutral
41,Avengers was disappointing,negative
42,I didn’t like Avengers at all,negative
43,Avengers storyline felt weak,negative
44,Too many characters in Avengers,negative
45,Avengers was boring for me,negative
46,Not impressed by Avengers movie,negative
47,Avengers could have been better,negative
48,The plot of Avengers was confusing,negative
49,Avengers lacked emotional depth,negative
50,Worst Marvel movie in my opinion,negative
51,Avengers felt too long and slow,negative
52,Didn’t enjoy Avengers as expected,negative
53,Avengers was overhyped,negative
54,Poor character development in Avengers,negative
55,Avengers action scenes were repetitive,negative
56,Avengers didn’t meet expectations,negative
57,Avengers had weak dialogues,negative
58,The ending of Avengers was bad,negative
59,Avengers is overrated,negative
60,Avengers failed to impress me,negative
61,Avengers is amazing and fun,positive
62,Absolutely loved Avengers scenes,positive
63,Avengers has incredible visuals,positive
64,Brilliant storytelling in Avengers,positive
65,Avengers is full of excitement,positive
66,Highly recommend Avengers,positive
67,Avengers is thrilling and fun,positive
68,Superb performance by actors in Avengers,positive
69,Avengers is unforgettable,positive
70,Avengers deserves all the praise,positive
71,Avengers is average movie,neutral
72,Some parts of Avengers were good,neutral
73,Avengers is neither great nor bad,neutral
74,Mixed feelings about Avengers,neutral
75,Avengers has decent action scenes,neutral
76,Avengers is okay to watch once,neutral
77,Avengers is just another superhero movie,neutral
78,Avengers has standard plot,neutral
79,Avengers is fine overall,neutral
80,Avengers is watchable,neutral
81,Avengers disappointed me badly,negative
82,Not worth the hype Avengers,negative
83,Avengers is too predictable,negative
84,Avengers lacks originality,negative
85,Didn’t enjoy Avengers storyline,negative
86,Avengers acting was not great,negative
87,Avengers had poor pacing,negative
88,Avengers felt dragged,negative
89,Avengers was underwhelming,negative
90,Avengers is not exciting,negative
91,Avengers is fantastic movie,positive
92,Really enjoyed Avengers film,positive
93,Avengers is a must watch,positive
94,Loved the Avengers characters,positive
95,Avengers visuals are breathtaking,positive
96,Avengers is entertaining and fun,positive
97,Avengers is a great experience,positive
98,Avengers is incredible,positive
99,Avengers is very impressive,positive
100,Avengers is simply awesome,positive
